state,coverage_string,occurrences,reason
RI,Narragansett,1,no county or place of this name in the state
RI,North Kingstown,1,no county or place of this name in the state
RI,South Kingstown,1,no county or place of this name in the state
UT,West Valley,1,no county or place of this name in the state
WA,Burton,1,no county or place of this name in the state
NU,Kent,1,no county or place of this name in the state
??,Cook,1,"entity has no state, so the lookup cannot be scoped"
??,DuPage,1,"entity has no state, so the lookup cannot be scoped"
??,Kane,1,"entity has no state, so the lookup cannot be scoped"
??,McHenry,1,"entity has no state, so the lookup cannot be scoped"
??,West Midlands,1,"entity has no state, so the lookup cannot be scoped"
??,Portland,1,"entity has no state, so the lookup cannot be scoped"
??,Aloha,1,"entity has no state, so the lookup cannot be scoped"
??,Beaverton,1,"entity has no state, so the lookup cannot be scoped"
??,Corvallis,1,"entity has no state, so the lookup cannot be scoped"
??,Eugene,1,"entity has no state, so the lookup cannot be scoped"
??,Gresham,1,"entity has no state, so the lookup cannot be scoped"
??,Hillsboro,1,"entity has no state, so the lookup cannot be scoped"
??,Lake Oswego,1,"entity has no state, so the lookup cannot be scoped"
??,Lakeland,1,"entity has no state, so the lookup cannot be scoped"
??,Melbourne,1,"entity has no state, so the lookup cannot be scoped"
??,Shorewood,1,"entity has no state, so the lookup cannot be scoped"
??,Brookfield,1,"entity has no state, so the lookup cannot be scoped"
??,Washington,1,"entity has no state, so the lookup cannot be scoped"
??,San Francisco,1,"entity has no state, so the lookup cannot be scoped"
??,Prince William County,1,"entity has no state, so the lookup cannot be scoped"
??,Montgomery County,1,"entity has no state, so the lookup cannot be scoped"
??,Prince George’s County,1,"entity has no state, so the lookup cannot be scoped"
??,Baltimore County,1,"entity has no state, so the lookup cannot be scoped"
??,Howard County,1,"entity has no state, so the lookup cannot be scoped"
??,Duval County,1,"entity has no state, so the lookup cannot be scoped"
??,Southern California,1,"entity has no state, so the lookup cannot be scoped"
??,Connecticut,1,"entity has no state, so the lookup cannot be scoped"
??,select counties,1,"entity has no state, so the lookup cannot be scoped"
??,Kent,1,"entity has no state, so the lookup cannot be scoped"
??,Sussex,1,"entity has no state, so the lookup cannot be scoped"
??,New Castle,1,"entity has no state, so the lookup cannot be scoped"
??,Coventry,1,"entity has no state, so the lookup cannot be scoped"
??,Wolverhampton,1,"entity has no state, so the lookup cannot be scoped"
??,Dudley,1,"entity has no state, so the lookup cannot be scoped"
??,Sandwell,1,"entity has no state, so the lookup cannot be scoped"
??,Walsall,1,"entity has no state, so the lookup cannot be scoped"
??,Solihull,1,"entity has no state, so the lookup cannot be scoped"
??,Sutton Coldfield,1,"entity has no state, so the lookup cannot be scoped"
??,Knoxville,1,"entity has no state, so the lookup cannot be scoped"
??,Chattanooga,1,"entity has no state, so the lookup cannot be scoped"
??,Memphis,1,"entity has no state, so the lookup cannot be scoped"
??,Greensboro,1,"entity has no state, so the lookup cannot be scoped"
??,Lansing,1,"entity has no state, so the lookup cannot be scoped"
??,Kalamazoo,1,"entity has no state, so the lookup cannot be scoped"
??,Muskegon,1,"entity has no state, so the lookup cannot be scoped"
??,Indianapolis,1,"entity has no state, so the lookup cannot be scoped"
??,Greenfield,1,"entity has no state, so the lookup cannot be scoped"
??,Falls Church,1,"entity has no state, so the lookup cannot be scoped"
??,Stafford,1,"entity has no state, so the lookup cannot be scoped"
??,Alexander,1,"entity has no state, so the lookup cannot be scoped"
??,Burke,1,"entity has no state, so the lookup cannot be scoped"
??,Cabarrus,1,"entity has no state, so the lookup cannot be scoped"
??,Catawba,1,"entity has no state, so the lookup cannot be scoped"
??,Gaston,1,"entity has no state, so the lookup cannot be scoped"
??,Iredell,1,"entity has no state, so the lookup cannot be scoped"
??,Pennsylvania,1,"entity has no state, so the lookup cannot be scoped"
??,Georgia,1,"entity has no state, so the lookup cannot be scoped"
??,Florida,1,"entity has no state, so the lookup cannot be scoped"
??,Essex County,1,"entity has no state, so the lookup cannot be scoped"
??,Passaic County,1,"entity has no state, so the lookup cannot be scoped"
??,Westchester County,1,"entity has no state, so the lookup cannot be scoped"
??,Chula Vista,1,"entity has no state, so the lookup cannot be scoped"
??,Arvada,1,"entity has no state, so the lookup cannot be scoped"
??,Centennial,1,"entity has no state, so the lookup cannot be scoped"
??,Lakewood,1,"entity has no state, so the lookup cannot be scoped"
??,Littleton,1,"entity has no state, so the lookup cannot be scoped"
??,Alexandria County,1,"entity has no state, so the lookup cannot be scoped"
??,Arlington County,1,"entity has no state, so the lookup cannot be scoped"
??,Falls Church County,1,"entity has no state, so the lookup cannot be scoped"
??,Manassas County,1,"entity has no state, so the lookup cannot be scoped"
??,Boulder County,1,"entity has no state, so the lookup cannot be scoped"
??,Glendale,1,"entity has no state, so the lookup cannot be scoped"
??,Mesa,1,"entity has no state, so the lookup cannot be scoped"
??,Casa Grande,1,"entity has no state, so the lookup cannot be scoped"
??,Maricopa,1,"entity has no state, so the lookup cannot be scoped"
??,El Paso,1,"entity has no state, so the lookup cannot be scoped"
??,Fort Worth,1,"entity has no state, so the lookup cannot be scoped"
??,Amarillo,1,"entity has no state, so the lookup cannot be scoped"
??,Delaware,1,"entity has no state, so the lookup cannot be scoped"
??,Chester,1,"entity has no state, so the lookup cannot be scoped"
??,Main Line,1,"entity has no state, so the lookup cannot be scoped"
??,Hunterdon,1,"entity has no state, so the lookup cannot be scoped"
??,Mercer,1,"entity has no state, so the lookup cannot be scoped"
??,null,1,"entity has no state, so the lookup cannot be scoped"
??,Cardiff,1,"entity has no state, so the lookup cannot be scoped"
??,Bristol,1,"entity has no state, so the lookup cannot be scoped"
??,Manchester,1,"entity has no state, so the lookup cannot be scoped"
??,Liverpool,1,"entity has no state, so the lookup cannot be scoped"
??,London,1,"entity has no state, so the lookup cannot be scoped"
??,Glasgow,1,"entity has no state, so the lookup cannot be scoped"
??,Nottingham,1,"entity has no state, so the lookup cannot be scoped"
??,Placer,1,"entity has no state, so the lookup cannot be scoped"
??,Nevada,1,"entity has no state, so the lookup cannot be scoped"
??,Yuba,1,"entity has no state, so the lookup cannot be scoped"
??,El Dorado,1,"entity has no state, so the lookup cannot be scoped"
??,Del Norte,1,"entity has no state, so the lookup cannot be scoped"
??,Humboldt,1,"entity has no state, so the lookup cannot be scoped"
??,Mendocino,1,"entity has no state, so the lookup cannot be scoped"
??,Boise,1,"entity has no state, so the lookup cannot be scoped"
??,Meridian,1,"entity has no state, so the lookup cannot be scoped"
??,Kuna,1,"entity has no state, so the lookup cannot be scoped"
??,Nampa,1,"entity has no state, so the lookup cannot be scoped"
??,Middleton,1,"entity has no state, so the lookup cannot be scoped"
??,Casper,1,"entity has no state, so the lookup cannot be scoped"
??,Cheyenne,1,"entity has no state, so the lookup cannot be scoped"
??,Suburbs,1,"entity has no state, so the lookup cannot be scoped"
??,Duval,1,"entity has no state, so the lookup cannot be scoped"
??,Franklin,1,"entity has no state, so the lookup cannot be scoped"
??,Kings,1,"entity has no state, so the lookup cannot be scoped"
??,Winnipeg,1,"entity has no state, so the lookup cannot be scoped"
??,Calgary,1,"entity has no state, so the lookup cannot be scoped"
??,Edmonton,1,"entity has no state, so the lookup cannot be scoped"
??,Toronto,1,"entity has no state, so the lookup cannot be scoped"
??,Delaware County,1,"entity has no state, so the lookup cannot be scoped"
??,Chester County,1,"entity has no state, so the lookup cannot be scoped"
??,Kent County,1,"entity has no state, so the lookup cannot be scoped"
??,New Castle County,1,"entity has no state, so the lookup cannot be scoped"
??,Tarrant,1,"entity has no state, so the lookup cannot be scoped"
??,Inland Empire,1,"entity has no state, so the lookup cannot be scoped"
??,Oklahoma City,1,"entity has no state, so the lookup cannot be scoped"
??,Salt Lake,1,"entity has no state, so the lookup cannot be scoped"
??,Charles,1,"entity has no state, so the lookup cannot be scoped"
??,Howard,1,"entity has no state, so the lookup cannot be scoped"
??,Frederick,1,"entity has no state, so the lookup cannot be scoped"
??,Waterloo,1,"entity has no state, so the lookup cannot be scoped"
??,Ventura,1,"entity has no state, so the lookup cannot be scoped"
??,Niagara,1,"entity has no state, so the lookup cannot be scoped"
??,San Jose,1,"entity has no state, so the lookup cannot be scoped"
??,Albuquerque,1,"entity has no state, so the lookup cannot be scoped"
??,Bozeman,1,"entity has no state, so the lookup cannot be scoped"
??,Spokane,1,"entity has no state, so the lookup cannot be scoped"
??,Broward,1,"entity has no state, so the lookup cannot be scoped"
??,Palm Beach,1,"entity has no state, so the lookup cannot be scoped"
??,Sarasota,1,"entity has no state, so the lookup cannot be scoped"
??,Manatee,1,"entity has no state, so the lookup cannot be scoped"
CA,Atwater Village,1,no county or place of this name in the state
CA,Boyle Heights,1,no county or place of this name in the state
CA,Burbank,1,2 same-named places in different counties
CA,Canoga Park,1,no county or place of this name in the state
CA,Chatsworth,1,no county or place of this name in the state
GA,Buckhead,1,2 same-named places in different counties
IL,Milwaukee,1,no county or place of this name in the state
IN,Highland,1,2 same-named places in different counties
MI,Bloomfield,1,no county or place of this name in the state
MI,Chesterfield,1,no county or place of this name in the state
MN,Twin Cities,1,no county or place of this name in the state
NC,Winston‑Salem,1,no county or place of this name in the state
NJ,Cherry Hill,1,no county or place of this name in the state
NJ,Northern NJ,1,no county or place of this name in the state
NJ,all 21 New Jersey counties,1,no county or place of this name in the state
OH,Centerville,1,2 same-named places in different counties
OK,Benton,1,no county or place of this name in the state
ON,Durham Region,1,no county or place of this name in the state
ON,Halton Region,1,no county or place of this name in the state
PA,Cecil,1,no county or place of this name in the state
SC,Upstate,1,no county or place of this name in the state
